Brand,Name,Price,Basic Specs
TVS,TVS Raider,"Rs.95,219 - 1.03 Lakh*",71.94 kmpl124.8 cc11.38 PS
TVS,TVS Apache RTR 160,Rs.1.19 - 1.26 Lakh*,47 kmpl159.7 cc16.04 PS
TVS,TVS Apache RTR 160 4V,Rs.1.24 - 1.45 Lakh*,47.61 kmpl159.7 cc17.55 PS
TVS,TVS NTORQ 125,"Rs.84,636 - 1.05 Lakh*",54.33 kmpl124.8 cc9.38 PS
TVS,TVS iQube,Rs.1.17 - 1.23 Lakh*,4.4 kW
TVS,TVS Jupiter,"Rs.73,340 - 89,748*",50 kmpl109.7 cc7.88 PS
TVS,TVS Apache RTR 310,Rs.2.43 - 2.64 Lakh*,35 kmpl312.12 cc 35.6 PS
TVS,TVS XL100,"Rs.44,999 - 59,695*",80 kmpl99.7 cc4.35 PS
TVS,TVS Apache RR 310,Rs.2.72 Lakh*,33.1 kmpl312.2 cc 34 PS
TVS,TVS Ronin,Rs.1.49 - 1.73 Lakh*,42.95 kmpl225.9 cc20.4 PS
TVS,TVS Jupiter 125,"Rs.86,405 - 96,855*",57.27 kmpl124.8 cc8.15 PS
TVS,TVS Scooty Pep Plus,"Rs.65,514 - 68,414*",50 kmpl87.8 cc5.4 PS
TVS,TVS Sport,"Rs.59,431 - 70,773*",70 kmpl109.7 cc8.29 PS
TVS,TVS Apache RTR 180,Rs.1.32 Lakh*,45 kmpl177.4 cc17.02 PS
TVS,TVS Apache RTR 200 4V,Rs.1.47 Lakh*,37 kmpl197.75 cc20.82 PS
TVS,TVS Radeon,"Rs.62,405 - 80,744*",73.68 kmpl109.7 cc8.19 PS
TVS,TVS Scooty Zest,"Rs.73,931 - 75,293*",48 kmpl109.7 cc7.81 PS
TVS,TVS Star City Plus,"Rs.78,770 - 81,920*",83.09 kmpl109.7 cc8.19 PS
TVS,TVS X,Rs.2.50 Lakh*,7 kW4 Hr
