Name,Price,Basic Specs
Triumph Speed 400,Rs.2.33 Lakh*,30 kmpl398.15 cc40 PS
Triumph Rocket 3,Rs.19.90 - 21.40 Lakh*,14.28 Kmpl2458 cc167 PS
Triumph Scrambler 400 X,Rs.2.63 Lakh*,28.3 kmpl398.15 cc40 PS
Triumph Street Triple,Rs.10.17 - 12.07 Lakh*,19.2 kmpl765 cc130 PS
Triumph Trident 660,Rs.8.12 Lakh*,17.47 kmpl660 cc81 PS
Triumph Bonneville Bobber,Rs.12.05 - 12.85 Lakh*,22.22 Kmpl1200 cc78 PS
Triumph Tiger 1200,Rs.19.19 - 21.69 Lakh*,19.60 Kmpl1160 cc150 PS
Triumph Speed Twin 900,Rs.8.49 - 8.79 Lakh*,24.39 Kmpl900 cc65 PS
Triumph Tiger 900,Rs.13.70 - 15.50 Lakh*,19.23 Kmpl888 cc95.2 PS
Triumph Bonneville T120,Rs.11.09 - 11.89 Lakh*,21.27 kmpl1200 cc80 PS
Triumph Bonneville T100,Rs.9.69 - 10.04 Lakh*,24.39 Kmpl900 cc65 PS
Triumph Tiger Sport 660,Rs.9.34 Lakh*,22.22 Kmpl660 cc81 PS
Triumph Speed Twin,Rs.11.09 Lakh*,19.60 Kmpl1200 cc100 PS
Triumph Bonneville Speedmaster,Rs.12.05 - 12.85 Lakh*,22.22 Kmpl1200 cc78 PS
Triumph Speed Triple 1200,Rs.17.95 Lakh*,17.9 kmpl1160 cc180 PS
Triumph Scrambler 900,Rs.9.59 - 10.19 Lakh*,23.2 kmpl900 cc65 PS
Triumph Tiger 850 Sport,Rs.11.95 Lakh*,19 kmpl888 cc85 PS
Triumph Scrambler 1200 X,Rs.11.83 - 12.13 Lakh*,1200 cc90 PS110 Nm @ 4250 rpm
